latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
65.56751,-156.7139,339.84,0.47,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,298.03,3.99,D
65.56767,-156.72421,327.35,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,296.65,3.99,D
65.56933,-156.8385,367,0.46,0.64,2025-07-04,18,N,VIIRS,h,2.0NRT,296.96,13.4,D
65.56948,-156.84885,367,0.46,0.64,2025-07-04,18,N,VIIRS,h,2.0NRT,297.61,13.4,D
65.56963,-156.85927,352.21,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,294.42,17.03,D
65.57575,-156.86931,347.15,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,300.41,7.19,D
65.5809,-156.80962,340.55,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,297.63,7.96,D
65.58104,-156.81888,336.36,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,296.16,8.09,D
65.58131,-156.83809,325.01,0.46,0.64,2025-07-04,18,N,VIIRS,l,2.0NRT,298.47,7.44,D
65.58173,-156.86893,328.52,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,295.8,7.19,D
65.59315,-156.82889,327.29,0.46,0.64,2025-07-04,18,N,VIIRS,l,2.0NRT,298,8.19,D
65.59328,-156.83839,330.43,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,298.6,5.77,D
65.59341,-156.84782,333.94,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,300.08,5.77,D
65.599,-156.81807,338.12,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,296.7,7.45,D
65.59913,-156.8282,336.43,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,296.42,7.45,D
65.59927,-156.83823,355,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,298.19,16.14,D
65.5994,-156.84767,356.85,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,298.69,16.14,D
65.59953,-156.85707,328.16,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,294.44,14.86,D
65.60526,-156.83795,335.25,0.46,0.64,2025-07-04,18,N,VIIRS,n,2.0NRT,293.5,16.14,D
65.60538,-156.84805,367,0.46,0.64,2025-07-04,18,N,VIIRS,h,2.0NRT,296.91,16.14,D
